TweetID,Username,Text,CreateDate,Biased,Keyword
1341975520347631618,onkeltorben,Wenn ihr denkt viel mehr als bei uns in Deutschland kann eine Regierung nicht falsch machen.\n\nIn Israel steht man kurz vor einem 3. Lockdown und es wird die 4. Neuwahlen in 2 Jahren geben weil sich das Parlament gerade selbst aufgelöst hat. \n\nEs geht immer noch schlimmer.,2020-12-24 05:14:31+00:00,0,Israel
1341329464987443200,pcp68908616,"Was für intellektuelle Verrenkungen gemacht werden, um BDS als nicht-antisemitisch darzustellen. Eine Bewegung zum Israel-Boykott, die zugleich einzelne Juden, etwa Wissenschaftler, angreift und von Konferenzen ausschließen will, ist doch sonnenklar antisemitisch. #BDS",2020-12-22 10:27:19+00:00,0,Israel
1341096409056096259,katjahusen,"Die Resolution des Bundestages steht am Ende einer Ungleichbehandlung, die immer wieder zur Dämonisierung und doppelten Standards in Bezug auf Israel führt. Nicht am Anfang einer Ungleichbehandlung.",2020-12-21 19:01:14+00:00,0,Israel
1341078395199885314,Korallenherz,"Janko erzählt, das nach der Wichteldemo am 18.11., auf der eine Israelfahne zu sehen war und bei der es zum WaWe-Einsatz kam, der deutsche Botschafter in Israel einberufen wurde um sich erklären zu müssen. \n\nGibt es da einen Faktencheck?\n\n#Rosenbus",2020-12-21 17:49:40+00:00,0,Israel
1338912866473291786,medbuer,"ES IST EIN SKANDAL, dass Institutionen, die den Boykott eines einzigen Staates auf der Welt - Israel - unterstützen, mit deutschen Steuergeldern gefördert werden. \nSolange das der Fall ist, werde ich NICHT schweigen.",2020-12-15 18:24:37+00:00,0,Israel
1334999453477072896,Psch27389151,Der palästinensische Regierungschef Mahmud Abbas läßt seit 14 Jahren keine Neuwahlen zu.\nUnd mit dem Diktator soll Israel Frieden schließen?,2020-12-04 23:14:07+00:00,0,Israel
1328390995394895874,sen_senf,Israel hat 1948 die Unabhängigkeit ausgerufen.Was war vorher?Ein Britisches Madatsgebiet.Und davor? Osmanisches Reich.Und davor?Vor 2100 Jahren ein jüdisches Königreich in dem der Jude Jesus geboren wurde. \nWann also gab es einen palästinensischen Staat? \nNie! \nDas sind Fakten.,2020-11-16 17:34:28+00:00,0,Israel
1315698808295129089,Hiob888Marcus,"Zum Abschluss dieses Abschnitts wird nochmals betont, dass Adonai für Israel kämpft (V. 14).",2020-10-12 17:00:15+00:00,0,Israel
1314139736529948672,manuelakohler15,"In #Israel räumt der #Lockdown mit #Ausgangssperre die Neuinfektionen mal ordentlich ab.\nEr ist das einzige sinnvolle Mittel, wenn die Situation so eskaliert wie jetzt in Europa fast überall.\n\nVor 1 Woche waren es noch 9066 neue Fälle, gestern 3277.",2020-10-08 09:45:03+00:00,0,Israel
1313945556402802688,hafiz_machaalji,"Israelische Siedler halten sich illegal in Palästinensischen Territorien auf. Sie verbrennen grundlos Oliven und Obstbäume, zerstören Felder und Infrastruktur. Antisemitismus ist weltweit so hoch wie im 3. Reisch. Israel ist laut Studien das meist gehasste Land und Volk.",2020-10-07 20:53:27+00:00,1,Israel
